id,name,country
"Q610086","Achel Brewery","Belgium"
"Q12221","Starobrno Brewery","Czechoslovakia"
"Q478119","Amstel Brewery","Netherlands"
"Q612166","Franziskaner-Brauerei","Germany"
"Q129645","Sabeco","Vietnam"
"Q75438","Żywiec Brewery","Poland"
"Q83850","Birra Stela","Albania"
"Q489187","Anchor Brewing Company","United States"
"Q618044","Apatinska Brewery","Serbia"
"Q491736","Brauerei Anderten","Germany"
"Q494166","Fischer Brewery","France"
"Q493271","East African Breweries","Kenya"
"Q10939","Brasserie Georges","France"
"Q282879","Pécs Brewery","Hungary"
"Q566990","Schlenkerla","Germany"
"Q106854","Beck's","Germany"
"Q284135","Backus and Johnston Brewery","Peru"
"Q633720","Liefmans Brewery","Belgium"
"Q180855","Heineken","Netherlands"
"Q288727","Sapporo Breweries","Japan"
"Q637645","Arcobräu","Germany"
"Q521673","Grupo Modelo","Mexico"
"Q644625","Brasil Kirin","Brazil"
"Q225900","Cardinal Brewery","Switzerland"
"Q646458","Gubernija","Lithuania"
"Q377626","Henninger Brewery","Germany"
"Q228955","Zum Grünen Baum","Germany"
"Q650340","Westvleteren Abbey","Belgium"
"Q136957","Privatbrauerei Jacob Stauder","Germany"
"Q392195","Jopen","Netherlands"
"Q479003","Oranjeboom","Netherlands"
"Q658637","Miller Brewing Company","United States"
"Q181084","Pirinsko Pivo","Bulgaria"
"Q303690","Aass Brewery","Norway"
"Q304091","Moosehead Brewery","Canada"
"Q557112","Ankerbräu Nördlingen","Germany"
"Q314054","Köstritzer","Germany"
"Q422019","Aktien-Brauerei-Gesellschaft Friedrichshöhe","Germany"
"Q422034","Aktienbrauerei Kaufbeuren","Germany"
"Q314054","Köstritzer","German Democratic Republic"
"Q145670","Hansa Brewery","Norway"
"Q244637","Zwiefalter Klosterbräu","Germany"
"Q317402","Berliner Kindl","Germany"
"Q562552","Oettinger Brewery","Germany"
"Q448720","Rothaus","Germany"
"Q323095","Einbecker Brewery","Germany"
"Q323969","Ganter Brewery","Germany"
"Q568684","Hacker-Pschorr Brewery","Germany"
"Q568797","Radeberger Brewery","Germany"
"Q436921","Altenburger Brauerei","Germany"
"Q520174","Karlsberg","Germany"
"Q439148","Altes Brauhaus (Kempten)","Germany"
"Q439162","Altes Brauhaus Rietkötter","Germany"
"Q439166","Altes Brauhaus zu Fallersleben","Germany"
"Q422034","Aktienbrauerei Kaufbeuren","German Reich"
"Q328194","Brasserie Météor","France"
"Q317402","Berliner Kindl","German Reich"
"Q313542","Tsingtao Brewery","People's Republic of China"
"Q334066","Neuburg Abbey","Germany"
"Q256392","Löwenbräu Brewery","Germany"
"Q151205","Heinrich Reissdorf","Germany"
"Q387897","Duvel Moortgat Brewery","Belgium"
"Q151474","Brauerei Königshof","Germany"
"Q151607","Gaffel Becker & Co","Germany"
"Q113215","Carlsberg Group","Denmark"
"Q257229","Föroya Bjór","Faroe Islands"
"Q340194","Nøgne Ø","Norway"
"Q455794","Eldena Abbey","Germany"
"Q278905","A. Le Coq","Estonia"
"Q152161","Ketschenburg-Brauerei","Germany"
"Q259865","Unibroue","Canada"
"Q152198","Päffgen Kölsch","Germany"
"Q260108","Weltenburg Abbey","Germany"
"Q343264","Actien-Brauerei Homburg v. d. Höhe","Germany"
"Q343261","Reisewitz brewery","Germany"
"Q458609","Dortmunder Actien Brauerei","Germany"
"Q153075","Grolsch","Netherlands"
"Q460206","Holsten Brewery","Germany"
"Q153546","Augustiner Bräu","Germany"
"Q153852","Cölner Hofbräu Früh","Germany"
"Q12045435","Brewery Střítež","Czech Republic"
"Q12045458","Brewery in Kostelec nad Černými lesy","Czech Republic"
"Q12045453","Černá Hora Brewery","Czech Republic"
"Q12045427","Pivovar Radegast","Czech Republic"
"Q12045433","Pivovar Strakonice","Czech Republic"
"Q12045438","Pivovar Uherský Brod","Czech Republic"
"Q12045446","Pivovar Vyškov","Czech Republic"
"Q12045444","Pivovar Vysoký Chlumec","Czech Republic"
"Q12045455","Pivovar Žatec","Czech Republic"
"Q12045462","Pivovary Staropramen","Czech Republic"
"Q12045442","Velké Popovice Brewery","Czech Republic"
"Q12045445","Vrchlabí brewery","Czech Republic"
"Q12061436","Magic Hat Brewing Company","United States"
"Q12059978","Het Scheepje","Netherlands"
"Q12084926","Mikulinetsky Brovar","Ukraine"
"Q12134581","Nizhyn Brewery","Ukraine"
"Q13376839","Schlossbrauerei Ellingen","Germany"
"Q12300926","Aldersro Bryggeri","Denmark"
"Q12304484","Bryggeriet Alliance","Denmark"
"Q12304489","Bryggeriet Ravnsborg","Denmark"
"Q12304496","Bryggeriet Vendia","Denmark"
